Keuwl Accelerometer Data File
2021-04-09 15-36-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.052113,1.377909,-0.828695,-0.561645,8.710960,27.556946
0.0029763,-1.052113,1.377909,-0.828695,-0.561645,8.710960,27.556946
0.0049513,-1.001833,1.282138,-0.902917,-0.682324,8.444141,27.263870
0.0069353,-0.980285,1.191155,-0.835877,-0.679657,7.735485,27.256638
0.0089218,-0.930005,1.128904,-0.708981,-0.613601,6.937607,26.864189
0.0109126,-0.850994,1.006796,-0.613210,-0.606385,5.921082,26.282257
0.0129061,-0.850994,1.006796,-0.613210,-0.606385,5.921082,26.282257
0.0149000,-0.817474,0.973276,-0.627576,-0.639615,5.761971,25.982811
0.0168948,-0.767194,0.887083,-0.670672,-0.726028,5.407251,25.606773
0.0188903,-0.676212,0.812860,-0.708981,-0.805661,5.054266,24.707855
0.0209064,-0.597201,0.779340,-0.725741,-0.844150,4.858829,23.836983
0.0229030,-0.546921,0.750608,-0.725741,-0.862898,4.662819,23.287910
0.0249000,-0.467910,0.714694,-0.711375,-0.874672,4.361546,22.391731
0.0268973,-0.443967,0.709906,-0.697010,-0.866383,4.272106,22.106354
0.0288961,-0.367350,0.669203,-0.656307,-0.856531,3.871075,21.224449
0.0308940,-0.329042,0.630895,-0.601239,-0.829970,3.467934,20.801704
0.0328920,-0.300311,0.616529,-0.565324,-0.807343,3.262266,20.459930
0.0348903,-0.233271,0.585404,-0.474342,-0.746350,2.781050,19.649345
0.0368888,-0.199751,0.587798,-0.347445,-0.635448,2.400633,19.219345
0.0388870,-0.187780,0.592587,-0.289983,-0.583172,2.252960,19.061600
0.0408857,-0.108769,0.736243,-0.081681,-0.334461,2.381250,17.937904
0.0428845,-0.084826,0.820043,-0.002670,-0.225669,2.583061,17.582535
0.0448835,-0.077643,0.865534,0.069159,-0.141033,2.611248,17.464890
0.0468822,-0.108769,0.848774,0.157746,-0.070473,2.288603,17.852394
0.0488811,-0.139894,0.815254,0.224786,-0.026390,1.945415,18.256241
0.0508817,-0.175808,0.772157,0.294220,0.015991,1.553493,18.733116
0.0528810,-0.187780,0.741032,0.308586,0.014732,1.362476,18.910378
0.0548804,-0.175808,0.676386,0.332528,0.005911,0.966347,18.825203
0.0568799,-0.175808,0.645261,0.351683,0.008837,0.757833,18.855972
0.0588792,-0.154260,0.599770,0.392385,0.023963,0.412142,18.627289
0.0608788,-0.151866,0.551884,0.421117,0.028313,0.093140,18.642670
0.0628803,-0.149471,0.520758,0.440271,0.031709,-0.115597,18.641983
0.0648817,-0.132711,0.487238,0.457031,0.031580,-0.335913,18.455872
0.0668828,-0.123134,0.468084,0.478580,0.042365,-0.491442,18.348190
0.0688873,-0.130317,0.468084,0.492945,0.055528,-0.524445,18.442520
0.0708887,-0.051306,0.458507,0.607870,0.152993,-0.880102,17.410492
0.0728900,-0.051306,0.458507,0.607870,0.152993,-0.880102,17.410492
0.0748913,-0.012998,0.460901,0.641390,0.183515,-0.958387,16.903542
0.0768953,0.032494,0.434565,0.715612,0.238796,-1.278570,16.315025
0.0788967,0.020522,0.436959,0.749132,0.270386,-1.343283,16.472878
0.0808911,0.022916,0.448930,0.710824,0.240664,-1.192543,16.435280
0.0828925,0.018128,0.441747,0.679698,0.209502,-1.154158,16.502266
0.0848943,0.032494,0.434565,0.660544,0.188892,-1.147711,16.315025
0.0868956,0.037282,0.429776,0.622236,0.152103,-1.081259,16.253525
0.0888961,0.037282,0.434565,0.576745,0.112984,-0.946939,16.251396
0.0908972,0.022916,0.405833,0.548014,0.074966,-1.022396,16.456352
0.0928985,0.008551,0.391468,0.526464,0.049594,-1.041298,16.656204
0.0948996,-0.022575,0.365130,0.516888,0.030334,-1.147139,17.090569
0.0969007,-0.036940,0.343582,0.531254,0.034558,-1.289787,17.299324
0.0989036,-0.072855,0.298091,0.545619,0.029391,-1.549728,17.823318
0.1009049,-0.106374,0.271754,0.531254,0.006288,-1.640989,18.306816
0.1029062,-0.123134,0.271754,0.528859,0.004606,-1.629055,18.537346
0.1049076,-0.163837,0.257388,0.528859,-0.000025,-1.687201,19.113075
0.1069091,-0.197357,0.259782,0.526464,0.000003,-1.653774,19.571533
0.1089107,-0.214117,0.257388,0.519282,-0.006871,-1.640915,19.805031
0.1109109,-0.259608,0.245417,0.552802,0.020584,-1.758968,20.447281
0.1129122,-0.269185,0.254994,0.564774,0.035851,-1.732395,20.564629
0.1149133,-0.283551,0.262177,0.576745,0.050361,-1.715424,20.750557
0.1169205,-0.281156,0.257388,0.615053,0.083154,-1.831928,20.725121
0.1189221,-0.269185,0.281331,0.636601,0.112072,-1.766178,20.525475
0.1209232,-0.262002,0.288514,0.624630,0.103820,-1.705044,20.417107
0.1229245,-0.242848,0.288514,0.617447,0.096462,-1.698345,20.156212
0.1249266,-0.190174,0.276542,0.588716,0.063294,-1.718197,19.452141
0.1269282,-0.185385,0.278936,0.579139,0.055395,-1.685333,19.383636
0.1289265,-0.161443,0.271754,0.569562,0.042867,-1.710402,19.063736
0.1309279,-0.082432,0.245417,0.579139,0.038341,-1.899855,18.000465
0.1329293,-0.082432,0.240628,0.591110,0.047285,-1.952915,18.004715
0.1349306,-0.051306,0.223868,0.610265,0.057130,-2.094671,17.585922
0.1369293,-0.051306,0.214291,0.634207,0.075089,-2.200159,17.593513
0.1389306,-0.053700,0.209503,0.643785,0.081949,-2.246515,17.630814
0.1409319,0.008551,0.211897,0.706036,0.138575,-2.393412,16.757866
0.1429333,0.044465,0.204714,0.727584,0.154851,-2.486767,16.258179
0.1449341,0.104322,0.192743,0.753921,0.173538,-2.616491,15.420837
0.1469352,0.200093,0.164011,0.825749,0.227732,-2.929188,14.069321
0.1489366,0.152207,0.180771,0.866452,0.271767,-2.932823,14.747292
0.1509381,0.063619,0.159223,0.902366,0.296919,-3.114120,16.007874
0.1529395,0.015734,0.156828,0.909549,0.303246,-3.133497,16.688896
0.1549411,-0.070460,0.137674,0.921520,0.308522,-3.234774,17.928169
0.1569427,-0.092009,0.128097,0.943069,0.325189,-3.323271,18.244011
0.1589427,-0.082432,0.116126,0.969406,0.344576,-3.444485,18.118736
0.1609464,-0.082432,0.123309,0.981377,0.358388,-3.433542,18.111969
0.1629477,-0.094403,0.125703,0.990954,0.368455,-3.437782,18.280487
0.1649490,-0.099192,0.111337,0.981377,0.354208,-3.488762,18.363174
0.1669502,-0.113557,0.130492,0.947857,0.331122,-3.313591,18.548546
0.1689513,-0.118346,0.130492,0.921520,0.307006,-3.254683,18.616707
0.1709531,-0.171020,0.168800,0.842509,0.251057,-2.863228,19.318253
0.1729544,-0.163837,0.178377,0.804201,0.219455,-2.731876,19.205704
0.1749559,-0.123134,0.183166,0.770680,0.189330,-2.648722,18.628654
0.1769515,-0.034546,0.187954,0.682093,0.107844,-2.452065,17.378799
0.1789532,0.008551,0.221474,0.557590,0.006887,-1.999117,16.752213
0.1809547,-0.001026,0.264571,0.418722,-0.101445,-1.438736,16.859520
0.1829561,-0.003421,0.290908,0.356471,-0.146761,-1.146946,16.876488
0.1849567,0.013339,0.312457,0.272672,-0.213684,-0.827932,16.634415
0.1869580,0.030099,0.360342,0.227180,-0.234332,-0.462479,16.381973
0.1889594,0.061225,0.415410,0.133803,-0.294526,0.065556,15.940315
0.1909607,0.113899,0.470479,0.042821,-0.351811,0.592995,15.225502
0.1929624,0.113899,0.470479,0.042821,-0.351811,0.592995,15.225502
0.1949638,0.145024,0.477661,-0.000276,-0.387165,0.745441,14.814171
0.1969651,0.164179,0.477661,-0.019430,-0.404286,0.796783,14.561920
