Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-2.669601,5.126190,3.806427,6.920512,56.631546,117.509460
0.0040588,-2.320038,5.291397,4.038666,7.049275,55.045952,113.675270
0.0080872,-1.929794,5.473358,4.220627,7.176033,53.973736,109.421608
0.0121460,-1.565872,5.636169,4.352310,7.291157,53.349663,105.526657
0.0161743,-1.266602,5.765442,4.460037,7.398414,52.926651,102.390396
0.0202332,-1.055908,5.885162,4.539047,7.506866,52.796135,100.171707
0.0242920,-0.933807,6.012054,4.572571,7.610861,53.073109,98.828773
0.0283203,-0.912247,6.143738,4.579758,7.716987,53.596752,98.445801
0.0323792,-0.984085,6.258652,4.610870,7.835769,53.953701,98.935799
0.0364075,-1.142105,6.306534,4.673126,7.931890,53.902813,100.264938
0.0404663,-1.324051,6.378357,4.768890,8.073342,53.793591,101.727188
0.0444946,-1.546722,6.450195,4.888611,8.239896,53.609493,103.484612
0.0485535,-1.788528,6.478928,5.015503,8.386334,53.269161,105.432335
0.0525818,-2.049500,6.462158,5.118454,8.494617,52.947060,107.596634
0.0566406,-2.332016,6.409485,5.185486,8.567908,52.755188,109.993324
0.0606689,-2.604950,6.330475,5.202240,8.597905,52.766911,112.366852
0.0647278,-2.858734,6.273026,5.161545,8.611896,53.176598,114.499634
0.0687561,-2.858734,6.244293,5.092117,8.549457,53.444077,114.599037
0.0728149,-3.081406,6.263443,5.003525,8.588425,54.367130,116.195656
0.0768433,-3.258575,6.340057,4.912552,8.657240,55.427395,117.201637
0.0809021,-3.375885,6.462158,4.869446,8.767416,56.261547,117.582939
0.0849304,-3.426163,6.610596,4.869446,8.896632,56.815567,117.396965
0.0889893,-3.418991,6.761444,4.910156,9.028635,57.054394,116.823891
0.0930176,-3.371094,6.926636,5.001129,9.184435,57.007980,115.951515
0.0970764,-3.263367,7.106201,5.135208,9.355106,56.707024,114.665916
0.1011047,-2.906631,7.278580,5.326752,9.476313,55.797997,111.768822
0.1051636,-2.693542,7.427017,5.585312,9.675302,54.740875,109.934097
0.1092224,-2.487640,7.527588,5.896561,9.880403,53.359402,108.287163
0.1132507,-2.288925,7.580246,6.246124,10.085305,51.732834,106.802177
0.1173096,-2.135696,7.608978,6.607635,10.301388,50.101349,105.678429
0.1213379,-2.006409,7.611374,6.976349,10.517991,48.449669,104.767609
0.1253967,-1.901062,7.599411,7.345062,10.738483,46.843430,104.044823
0.1294250,-1.817261,7.597015,7.663483,10.942854,45.547440,103.452774
0.1334839,-1.747833,7.589828,7.934036,11.117974,44.469582,102.968338
0.1375122,-1.726288,7.582642,8.192596,11.295802,43.508026,102.825531
0.1415710,-1.728683,7.570679,8.372162,11.419134,42.847225,102.862358
0.1455994,-1.776566,7.585037,8.501450,11.530985,42.500618,103.182182
0.1496582,-1.855576,7.611374,8.630737,11.656149,42.230663,103.700874
0.1536865,-1.929794,7.668839,8.743271,11.788977,42.128010,104.124702
0.1577454,-1.989639,7.743057,8.824677,11.907498,42.174587,104.410828
0.1617737,-2.037537,7.814880,8.872559,11.997758,42.309624,104.613129
0.1658325,-2.054291,7.869949,8.901291,12.057744,42.419827,104.629463
0.1698608,-2.039917,7.901077,8.882141,12.061539,42.574184,104.476608
0.1739197,-1.987244,7.915436,8.853409,12.041018,42.669895,104.093353
0.1779785,-1.901062,7.913040,8.822281,12.002620,42.690285,103.508965
0.1820068,-1.810074,7.881927,8.788757,11.943341,42.619144,102.933640
0.1860657,-1.704742,7.831650,8.760025,11.873454,42.457153,102.280212
0.1900940,-1.601791,7.752640,8.774399,11.817751,42.057220,101.673752
0.1941528,-1.503616,7.668839,8.824677,11.787573,41.527088,101.093163
0.1981812,-1.422226,7.573074,8.910858,11.780390,40.850876,100.636276
0.2022400,-1.371948,7.494064,9.011414,11.800373,40.212521,100.374336
0.2062683,-1.369553,7.431808,9.135925,11.856331,39.596470,100.441467
0.2103271,-1.429398,7.379135,9.296326,11.954768,38.956375,100.962875
0.2143555,-1.532349,7.350403,9.514206,12.120091,38.279827,101.775871
0.2184143,-1.661636,7.343231,9.772781,12.336586,37.610413,102.750244
0.2224426,-1.845993,7.343231,10.040924,12.575806,37.019382,104.111015
0.2265015,-2.037537,7.326462,10.299500,12.802668,36.439865,105.541595
0.2305298,-2.262589,7.283371,10.522156,12.995482,35.935520,107.257477
0.2345886,-2.470886,7.204361,10.716095,13.146969,35.402740,108.930473
0.2386474,-2.660019,7.120560,10.831009,13.232113,35.061131,110.484123
0.2426758,-2.806061,7.031982,10.866928,13.244352,34.865601,111.754105
0.2467346,-2.899445,6.938614,10.819046,13.175845,34.802200,112.678627
0.2507629,-2.942535,6.850021,10.673004,13.018998,34.934994,113.246712
0.2548218,-2.937744,6.775803,10.452728,12.798491,35.242641,113.439819
0.2588501,-2.887466,6.725525,10.139084,12.504846,35.824619,113.235275
0.2629089,-2.772552,6.713547,9.753616,12.161077,36.675068,112.439590
0.2669372,-2.609741,6.749466,9.293930,11.778930,37.905037,111.139442
0.2709961,-2.408630,6.802139,8.807907,11.386389,39.326515,109.499001
0.2750244,-2.157242,6.893112,8.293167,10.997514,41.053669,107.377831
0.2790833,-1.886688,6.998459,7.785583,10.637356,42.953274,105.087479
0.2831116,-1.616150,7.115784,7.309143,10.328112,44.952393,102.796043
0.2871704,-1.388702,7.233093,6.930862,10.113505,46.740196,100.868134
0.2911987,-1.206741,7.333649,6.698624,10.005507,47.972008,99.344200
0.2952576,-1.072662,7.400696,6.631577,9.994934,48.433125,98.247063
0.2992859,-1.000839,7.429413,6.765656,10.098116,47.933563,97.672302
0.3033447,-1.000839,7.422241,7.081696,10.307364,46.602798,97.679626
